trial,day,infections
1,1,1
1,2,6
1,3,37
1,4,144
1,5,319
1,6,372
1,7,380
1,8,363
1,9,360
1,10,363
1,11,375
1,12,380
1,13,376
1,14,370
1,15,372
1,16,367
1,17,374
1,18,383
1,19,381
1,20,363
1,21,364
1,22,377
1,23,385
1,24,385
1,25,369
1,26,388
1,27,367
1,28,380
1,29,368
1,30,366
1,31,377
1,32,392
1,33,366
1,34,363
1,35,370
1,36,372
1,37,379
1,38,370
1,39,383
1,40,373
1,41,368
1,42,391
1,43,363
1,44,382
1,45,371
1,46,368
1,47,377
1,48,367
1,49,377
1,50,392
1,51,381
1,52,379
1,53,359
1,54,375
1,55,372
1,56,372
1,57,374
1,58,374
1,59,378
1,60,374
1,61,376
1,62,384
1,63,368
1,64,367
1,65,370
1,66,377
1,67,375
1,68,374
1,69,359
1,70,371
1,71,380
1,72,374
1,73,374
1,74,381
1,75,381
1,76,366
1,77,376
1,78,373
1,79,377
1,80,377
1,81,365
1,82,376
1,83,382
1,84,377
1,85,372
1,86,371
1,87,375
1,88,371
1,89,372
1,90,382
1,91,374
1,92,392
1,93,372
1,94,364
1,95,376
1,96,378
1,97,366
1,98,384
1,99,377
1,100,380
1,101,365
1,102,379
1,103,369
1,104,389
1,105,378
1,106,358
1,107,373
1,108,372
1,109,380
1,110,372
1,111,382
1,112,370
1,113,365
1,114,363
1,115,370
1,116,378
1,117,377
1,118,362
1,119,378
1,120,379
1,121,390
1,122,388
1,123,388
1,124,375
1,125,396
1,126,382
1,127,373
1,128,386
1,129,374
1,130,375
1,131,381
1,132,380
1,133,377
1,134,361
1,135,370
1,136,359
1,137,374
1,138,377
1,139,370
1,140,367
1,141,373
1,142,372
1,143,367
1,144,384
1,145,365
1,146,361
1,147,377
1,148,367
1,149,369
1,150,386
1,151,367
1,152,378
1,153,374
1,154,377
1,155,380
1,156,373
1,157,369
1,158,369
1,159,383
1,160,368
1,161,383
1,162,365
1,163,376
1,164,381
1,165,377
1,166,380
1,167,387
1,168,375
1,169,369
1,170,377
1,171,368
1,172,377
1,173,391
1,174,363
1,175,369
1,176,353
1,177,376
1,178,370
1,179,378
1,180,382
1,181,367
1,182,372
1,183,374
1,184,379
1,185,369
1,186,385
1,187,375
1,188,388
1,189,375
1,190,369
1,191,377
1,192,387
1,193,386
1,194,380
1,195,390
1,196,388
1,197,377
1,198,382
1,199,379
